"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
624424,"Conforto, Michael",1120,0.4348214285714286,0.5651785714285714,0.2883928571428571,0.21428571428571427,0.0625,0.38571428571428573,0.37589285714285714,0.23839285714285716,0.20089285714285715,0.18839285714285714,0.045535714285714284,0.18482142857142858,0.1875,0.19285714285714287
669394,"Burger, Jake",1074,0.42830540037243947,0.5716945996275605,0.2644320297951583,0.2271880819366853,0.08007448789571694,0.4227188081936685,0.3687150837988827,0.2085661080074488,0.22439478584729983,0.16759776536312848,0.036312849162011177,0.1983240223463687,0.2011173184357542,0.17225325884543763
680776,"Duran, Jarren",1266,0.4549763033175355,0.5450236966824644,0.23064770932069512,0.2519747235387046,0.06240126382306477,0.31200631911532384,0.3902053712480253,0.29778830963665087,0.20063191153238547,0.18799368088467613,0.06635071090047394,0.11137440758293837,0.20221169036334916,0.23143759873617692
646240,"Devers, Rafael",1989,0.42433383609854197,0.575666163901458,0.26646556058320764,0.23579688285570638,0.073403720462544,0.32176973353443944,0.4213172448466566,0.25691302161890395,0.16138763197586728,0.20915032679738563,0.05379587732528909,0.16038210155857216,0.21216691804927099,0.20311714429361485
641933,"O'Neill, Tyler",1053,0.38461538461538464,0.6153846153846154,0.31054131054131057,0.22032288698955366,0.08452041785375118,0.4188034188034188,0.35517568850902187,0.22602089268755934,0.2174738841405508,0.1396011396011396,0.027540360873694207,0.20132953466286801,0.21557454890788227,0.19848053181386513
621035,"Taylor, Chris",982,0.3533604887983707,0.6466395112016293,0.32790224032586557,0.2525458248472505,0.06619144602851323,0.4226069246435845,0.3289205702647658,0.2484725050916497,0.219959266802444,0.10183299389002037,0.031568228105906315,0.20264765784114053,0.22708757637474541,0.21690427698574338
669242,"Edman, Tommy",1751,0.4842946887492861,0.5157053112507138,0.22501427755568246,0.23015419760137065,0.06053683609366076,0.40205596801827526,0.36150770988006853,0.2364363221016562,0.23529411764705882,0.19131924614505996,0.05768132495716733,0.16676185037121644,0.17018846373500857,0.17875499714448886
571970,"Muncy, Max",1400,0.3342857142857143,0.6657142857142857,0.3807142857142857,0.20857142857142857,0.07642857142857143,0.4664285714285714,0.3385714285714286,0.195,0.20142857142857143,0.11071428571428571,0.02214285714285714,0.265,0.22785714285714287,0.17285714285714288
607043,"Nimmo, Brandon",1858,0.45748116254036597,0.542518837459634,0.23842841765339073,0.24165769644779334,0.062432723358449946,0.3261571582346609,0.37782561894510225,0.2960172228202368,0.19321851453175456,0.18729817007534985,0.07696447793326157,0.13293864370290634,0.1905274488697524,0.21905274488697524
502110,"Martinez, J.D.",1405,0.36725978647686836,0.6327402135231317,0.32526690391459073,0.2612099644128114,0.046263345195729534,0.3402135231316726,0.3758007117437722,0.28398576512455515,0.18362989323843418,0.1402135231316726,0.04341637010676157,0.1565836298932384,0.23558718861209962,0.24056939501779356
516782,"Marte, Starling",1380,0.5253623188405797,0.47463768115942023,0.19492753623188405,0.24710144927536232,0.03260869565217391,0.3673913043478261,0.377536231884058,0.25507246376811593,0.24855072463768116,0.20652173913043478,0.07028985507246377,0.11884057971014492,0.1710144927536232,0.18478260869565216
608385,"Winker, Jesse",1200,0.4175,0.5825,0.24833333333333332,0.24333333333333335,0.09083333333333334,0.37666666666666665,0.36,0.2633333333333333,0.205,0.16666666666666666,0.04583333333333333,0.17166666666666666,0.19333333333333333,0.21749999999999997
664056,"Bader, Harrison",1264,0.42800632911392406,0.571993670886076,0.26424050632911394,0.20727848101265822,0.10047468354430379,0.40427215189873417,0.3837025316455696,0.2120253164556962,0.19462025316455697,0.1787974683544304,0.05458860759493671,0.2096518987341772,0.20490506329113922,0.1574367088607595
669720,"Hays, Austin",1499,0.4296197464976651,0.5703802535023349,0.2621747831887925,0.22815210140093395,0.0800533689126084,0.400266844563042,0.3682454969979987,0.2314876584389593,0.20146764509673115,0.17745163442294865,0.050700466977985324,0.19879919946631086,0.19079386257505004,0.18078719146097397
664761,"Bohm, Alec",1994,0.46940822467402205,0.530591775325978,0.2156469408224674,0.27181544633901705,0.04312938816449348,0.29438314944834504,0.41424272818455365,0.2913741223671013,0.18706118355065196,0.2226680040120361,0.059679037111334,0.10732196589769308,0.19157472417251756,0.23169508525576732
681082,"Stott, Bryson",1509,0.44996686547382375,0.5500331345261762,0.25115970841616964,0.23392975480450628,0.06494367130550033,0.3121272365805169,0.3697813121272366,0.31809145129224653,0.18422796554009277,0.1941683233929755,0.07157057654075547,0.12789927104042412,0.1756129887342611,0.24652087475149106
467793,"Santana, Carlos",1931,0.4158467115484205,0.5836354220611082,0.26462972553081304,0.21491455204557225,0.10409114448472294,0.47643707923355777,0.34334541688244435,0.17969963749352666,0.24650440186431902,0.13619886069394097,0.033143448990160536,0.22993267736923875,0.2071465561885034,0.14655618850336613
680777,"Jeffers, Ryan",1034,0.39264990328820115,0.6073500967117988,0.2940038684719536,0.2263056092843327,0.08704061895551257,0.3849129593810445,0.35589941972920697,0.25918762088974856,0.18568665377176016,0.14893617021276595,0.058027079303675046,0.1992263056092843,0.20696324951644102,0.20116054158607352
543877,"Vázquez, Christian",1313,0.4226961157654227,0.5773038842345773,0.25894897182025894,0.24828636709824828,0.07006854531607007,0.31607006854531605,0.4051789794364052,0.27875095201827876,0.15993907083015993,0.1964965727341965,0.06626047220106626,0.15613099771515612,0.2086824067022087,0.2124904798172125
